The number of bases of the vector space Z3 over Z2 is: 168
1. ( [0, 0, 1] [0, 1, 0] [1, 0, 0] )
50. ( [0, 1, 1] [0, 0, 1] [1, 0, 1] )
51. ( [0, 1, 1] [0, 0, 1] [1, 1, 0] )
52. ( [0, 1, 1] [0, 0, 1] [1, 1, 1] )
53. ( [0, 1, 1] [0, 1, 0] [1, 0, 0] )
54. ( [0, 1, 1] [0, 1, 0] [1, 0, 1] )
55. ( [0, 1, 1] [0, 1, 0] [1, 1, 0] )
56. ( [0, 1, 1] [0, 1, 0] [1, 1, 1] )
57. ( [0, 1, 1] [1, 0, 0] [0, 0, 1] )
58. ( [0, 1, 1] [1, 0, 0] [0, 1, 0] )
59. ( [0, 1, 1] [1, 0, 0] [1, 0, 1] )
60. ( [0, 1, 1] [1, 0, 0] [1, 1, 0] )
61. ( [0, 1, 1] [1, 0, 1] [0, 0, 1] )
62. ( [0, 1, 1] [1, 0, 1] [0, 1, 0] )
63. ( [0, 1, 1] [1, 0, 1] [1, 0, 0] )
64. ( [0, 1, 1] [1, 0, 1] [1, 1, 1] )
65. ( [0, 1, 1] [1, 1, 0] [0, 0, 1] )
66. ( [0, 1, 1] [1, 1, 0] [0, 1, 0] )
67. ( [0, 1, 1] [1, 1, 0] [1, 0, 0] )
68. ( [0, 1, 1] [1, 1, 0] [1, 1, 1] )
69. ( [0, 1, 1] [1, 1, 1] [0, 0, 1] )
70. ( [0, 1, 1] [1, 1, 1] [0, 1, 0] )
71. ( [0, 1, 1] [1, 1, 1] [1, 0, 1] )
72. ( [0, 1, 1] [1, 1, 1] [1, 1, 0] )
73. ( [1, 0, 0] [0, 0, 1] [0, 1, 0] )
74. ( [1, 0, 0] [0, 0, 1] [0, 1, 1] )
75. ( [1, 0, 0] [0, 0, 1] [1, 1, 0] )
76. ( [1, 0, 0] [0, 0, 1] [1, 1, 1] )
77. ( [1, 0, 0] [0, 1, 0] [0, 0, 1] )
78. ( [1, 0, 0] [0, 1, 0] [0, 1, 1] )
79. ( [1, 0, 0] [0, 1, 0] [1, 0, 1] )
80. ( [1, 0, 0] [0, 1, 0] [1, 1, 1] )
81. ( [1, 0, 0] [0, 1, 1] [0, 0, 1] )
82. ( [1, 0, 0] [0, 1, 1] [0, 1, 0] )
83. ( [1, 0, 0] [0, 1, 1] [1, 0, 1] )
84. ( [1, 0, 0] [0, 1, 1] [1, 1, 0] )
85. ( [1, 0, 0] [1, 0, 1] [0, 1, 0] )
86. ( [1, 0, 0] [1, 0, 1] [0, 1, 1] )
87. ( [1, 0, 0] [1, 0, 1] [1, 1, 0] )
88. ( [1, 0, 0] [1, 0, 1] [1, 1, 1] )
89. ( [1, 0, 0] [1, 1, 0] [0, 0, 1] )
90. ( [1, 0, 0] [1, 1, 0] [0, 1, 1] )
91. ( [1, 0, 0] [1, 1, 0] [1, 0, 1] )
92. ( [1, 0, 0] [1, 1, 0] [1, 1, 1] )
93. ( [1, 0, 0] [1, 1, 1] [0, 0, 1] )
94. ( [1, 0, 0] [1, 1, 1] [0, 1, 0] )
95. ( [1, 0, 0] [1, 1, 1] [1, 0, 1] )
96. ( [1, 0, 0] [1, 1, 1] [1, 1, 0] )
97. ( [1, 0, 1] [0, 0, 1] [0, 1, 0] )
98. ( [1, 0, 1] [0, 0, 1] [0, 1, 1] )
99. ( [1, 0, 1] [0, 0, 1] [1, 1, 0] )
100. ( [1, 0, 1] [0, 0, 1] [1, 1, 1] )
101. ( [1, 0, 1] [0, 1, 0] [0, 0, 1] )
102. ( [1, 0, 1] [0, 1, 0] [0, 1, 1] )
103. ( [1, 0, 1] [0, 1, 0] [1, 0, 0] )
104. ( [1, 0, 1] [0, 1, 0] [1, 1, 0] )
105. ( [1, 0, 1] [0, 1, 1] [0, 0, 1] )
106. ( [1, 0, 1] [0, 1, 1] [0, 1, 0] )
107. ( [1, 0, 1] [0, 1, 1] [1, 0, 0] )
108. ( [1, 0, 1] [0, 1, 1] [1, 1, 1] )
109. ( [1, 0, 1] [1, 0, 0] [0, 1, 0] )
110. ( [1, 0, 1] [1, 0, 0] [0, 1, 1] )
111. ( [1, 0, 1] [1, 0, 0] [1, 1, 0] )
112. ( [1, 0, 1] [1, 0, 0] [1, 1, 1] )
113. ( [1, 0, 1] [1, 1, 0] [0, 0, 1] )
114. ( [1, 0, 1] [1, 1, 0] [0, 1, 0] )
115. ( [1, 0, 1] [1, 1, 0] [1, 0, 0] )
116. ( [1, 0, 1] [1, 1, 0] [1, 1, 1] )
117. ( [1, 0, 1] [1, 1, 1] [0, 0, 1] )
118. ( [1, 0, 1] [1, 1, 1] [0, 1, 1] )
119. ( [1, 0, 1] [1, 1, 1] [1, 0, 0] )
120. ( [1, 0, 1] [1, 1, 1] [1, 1, 0] )
121. ( [1, 1, 0] [0, 0, 1] [0, 1, 0] )
122. ( [1, 1, 0] [0, 0, 1] [0, 1, 1] )
123. ( [1, 1, 0] [0, 0, 1] [1, 0, 0] )
124. ( [1, 1, 0] [0, 0, 1] [1, 0, 1] )
125. ( [1, 1, 0] [0, 1, 0] [0, 0, 1] )
126. ( [1, 1, 0] [0, 1, 0] [0, 1, 1] )
127. ( [1, 1, 0] [0, 1, 0] [1, 0, 1] )
128. ( [1, 1, 0] [0, 1, 0] [1, 1, 1] )
129. ( [1, 1, 0] [0, 1, 1] [0, 0, 1] )
130. ( [1, 1, 0] [0, 1, 1] [0, 1, 0] )
131. ( [1, 1, 0] [0, 1, 1] [1, 0, 0] )
132. ( [1, 1, 0] [0, 1, 1] [1, 1, 1] )
133. ( [1, 1, 0] [1, 0, 0] [0, 0, 1] )
134. ( [1, 1, 0] [1, 0, 0] [0, 1, 1] )
135. ( [1, 1, 0] [1, 0, 0] [1, 0, 1] )
136. ( [1, 1, 0] [1, 0, 0] [1, 1, 1] )
137. ( [1, 1, 0] [1, 0, 1] [0, 0, 1] )
138. ( [1, 1, 0] [1, 0, 1] [0, 1, 0] )
139. ( [1, 1, 0] [1, 0, 1] [1, 0, 0] )
140. ( [1, 1, 0] [1, 0, 1] [1, 1, 1] )
141. ( [1, 1, 0] [1, 1, 1] [0, 1, 0] )
142. ( [1, 1, 0] [1, 1, 1] [0, 1, 1] )
143. ( [1, 1, 0] [1, 1, 1] [1, 0, 0] )
144. ( [1, 1, 0] [1, 1, 1] [1, 0, 1] )
145. ( [1, 1, 1] [0, 0, 1] [0, 1, 0] )
146. ( [1, 1, 1] [0, 0, 1] [0, 1, 1] )
147. ( [1, 1, 1] [0, 0, 1] [1, 0, 0] )
148. ( [1, 1, 1] [0, 0, 1] [1, 0, 1] )
149. ( [1, 1, 1] [0, 1, 0] [0, 0, 1] )
150. ( [1, 1, 1] [0, 1, 0] [0, 1, 1] )
151. ( [1, 1, 1] [0, 1, 0] [1, 0, 0] )
152. ( [1, 1, 1] [0, 1, 0] [1, 1, 0] )
153. ( [1, 1, 1] [0, 1, 1] [0, 0, 1] )
154. ( [1, 1, 1] [0, 1, 1] [0, 1, 0] )
155. ( [1, 1, 1] [0, 1, 1] [1, 0, 1] )
156. ( [1, 1, 1] [0, 1, 1] [1, 1, 0] )
157. ( [1, 1, 1] [1, 0, 0] [0, 0, 1] )
158. ( [1, 1, 1] [1, 0, 0] [0, 1, 0] )
159. ( [1, 1, 1] [1, 0, 0] [1, 0, 1] )
160. ( [1, 1, 1] [1, 0, 0] [1, 1, 0] )
161. ( [1, 1, 1] [1, 0, 1] [0, 0, 1] )
162. ( [1, 1, 1] [1, 0, 1] [0, 1, 1] )
163. ( [1, 1, 1] [1, 0, 1] [1, 0, 0] )
164. ( [1, 1, 1] [1, 0, 1] [1, 1, 0] )
165. ( [1, 1, 1] [1, 1, 0] [0, 1, 0] )
166. ( [1, 1, 1] [1, 1, 0] [0, 1, 1] )
167. ( [1, 1, 1] [1, 1, 0] [1, 0, 0] )
168. ( [1, 1, 1] [1, 1, 0] [1, 0, 1] )
